epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1882,1.2218,3.34835,1.29266,0.00333,1,0.12148,0.07261,0.63009,3.66357,0.99015,4e-05,4e-05,4e-05
2,27.7707,1.15158,2.96795,1.28365,0.00333,1,0.62984,0.50669,0.40391,3.51698,0.93195,9.802e-05,9.802e-05,9.802e-05
3,41.1256,1.17711,2.47872,1.22405,0.00333,1,0.995,0.84167,0.49006,3.15337,0.87058,0.000153664,0.000153664,0.000153664
4,53.572,1.25481,1.91289,1.28273,0.00333,1,0.995,0.88125,0.47726,2.87636,0.82789,0.000206932,0.000206932,0.000206932
5,66.3105,1.01214,1.69405,1.13713,0.00333,1,0.995,0.8475,0.51494,2.93052,0.8522,0.000257824,0.000257824,0.000257824
6,78.9978,1.18597,1.55615,1.15898,0.00333,1,0.92833,0.80607,0.53043,3.13354,0.88587,0.00030634,0.00030634,0.00030634
7,91.3761,1.0319,1.44121,1.05393,0.00333,1,0.995,0.88038,0.51836,3.04051,0.86863,0.00035248,0.00035248,0.00035248
8,103.305,1.03775,1.57791,1.12772,0.00333,1,0.995,0.822,0.62643,3.09658,0.89378,0.000396244,0.000396244,0.000396244
9,115.529,1.07807,1.38965,1.11805,0.00333,1,0.995,0.859,0.60429,3.10519,0.89714,0.000437632,0.000437632,0.000437632
10,128.291,1.04033,1.3985,1.16831,0.00333,1,0.995,0.869,0.56585,2.98183,0.88495,0.000476644,0.000476644,0.000476644
11,140.252,1.03754,1.24062,1.21236,0.59136,1,0.995,0.8505,0.67786,2.91014,0.86311,0.00051328,0.00051328,0.00051328
12,152.692,1.03235,1.41325,1.14365,0.00333,1,0.995,0.8155,0.72351,2.92073,0.87122,0.00054754,0.00054754,0.00054754
13,164.53,1.15719,1.57114,1.21915,0.00333,1,0.995,0.80575,0.66494,2.99519,0.87461,0.000579424,0.000579424,0.000579424
14,176.664,0.89993,1.35326,1.04372,0.00333,1,0.995,0.88125,0.57431,2.93328,0.85687,0.000608932,0.000608932,0.000608932
15,188.329,1.00907,1.49774,1.20086,0.86185,1,0.995,0.87,0.64365,2.72796,0.85277,0.000636064,0.000636064,0.000636064
16,200.219,1.09332,1.30518,1.1498,0.00552,1,0.995,0.71217,0.89091,3.03091,0.99504,0.00066082,0.00066082,0.00066082
17,212.303,1.19874,1.54139,1.28824,0.97073,1,0.995,0.82883,0.57424,2.60694,0.8648,0.0006832,0.0006832,0.0006832
18,224.831,1.04803,1.45781,1.23026,0.98358,1,0.995,0.8037,0.74954,2.52881,0.89391,0.000703204,0.000703204,0.000703204
19,238.41,1.00678,1.25891,1.15745,1,0.91097,0.995,0.8315,0.70268,2.55137,0.87929,0.000720832,0.000720832,0.000720832
20,252.698,1.09818,1.26719,1.20116,1,0.87331,0.995,0.86525,0.57645,2.57564,0.85571,0.000736084,0.000736084,0.000736084
21,265.616,0.94167,1.28503,1.13283,1,0.95904,0.995,0.88125,0.58621,2.51736,0.8707,0.00074896,0.00074896,0.00074896
22,277.969,0.80421,1.21824,1.02129,1,0.96231,0.995,0.88833,0.55785,2.53028,0.87224,0.00075946,0.00075946,0.00075946
23,290.426,0.95223,1.36706,1.10459,0.99265,1,0.995,0.8955,0.59221,2.40255,0.8949,0.000767584,0.000767584,0.000767584
24,304.326,0.96022,1.1793,1.08788,0.9616,1,0.995,0.8356,0.67949,2.09056,0.96096,0.000773332,0.000773332,0.000773332
25,316.565,0.97544,1.24604,1.15102,0.98692,1,0.995,0.84062,0.74723,1.74696,0.98799,0.000776704,0.000776704,0.000776704
26,329.143,0.92427,1.24488,1.11599,0.98862,1,0.995,0.8955,0.63158,1.49986,0.91708,0.0007777,0.0007777,0.0007777
27,341.153,0.86162,1.16708,1.0641,0.98632,1,0.995,0.9113,0.53723,1.4794,0.89146,0.00077632,0.00077632,0.00077632
28,354.768,0.90288,1.29806,1.10726,0.98036,1,0.995,0.8714,0.54852,1.54065,0.86615,0.000772564,0.000772564,0.000772564
29,368.347,0.95306,1.22567,1.19962,0.98036,1,0.995,0.8714,0.54852,1.54065,0.86615,0.000766432,0.000766432,0.000766432
30,381.94,0.88622,1.19723,1.0837,0.98713,1,0.995,0.85725,0.56991,1.5294,0.86317,0.000757924,0.000757924,0.000757924
31,395.317,0.88307,1.10056,1.09252,0.99074,1,0.995,0.8675,0.51174,1.35569,0.83743,0.00074704,0.00074704,0.00074704
32,408.693,0.88318,1.08569,1.05585,0.98867,1,0.995,0.84408,0.57781,1.28666,0.84282,0.00073378,0.00073378,0.00073378
33,422.472,0.86596,1.0644,1.08927,0.98867,1,0.995,0.84408,0.57781,1.28666,0.84282,0.000718144,0.000718144,0.000718144
34,436.003,0.85353,1.01652,1.0654,0.98392,1,0.995,0.82008,0.63553,1.29128,0.86943,0.0006932,0.0006932,0.0006932
35,453.094,0.88616,1.01684,1.06771,0.9863,1,0.995,0.8235,0.59424,1.22356,0.85751,0.0006536,0.0006536,0.0006536
36,465.436,0.76751,0.95854,1.02154,0.98873,1,0.995,0.84062,0.68574,1.17109,0.94003,0.000614,0.000614,0.000614
37,477.084,0.84455,0.9427,1.04269,0.98873,1,0.995,0.84062,0.68574,1.17109,0.94003,0.0005744,0.0005744,0.0005744
