epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7732,1.38302,2.40243,1.76158,0.00333,1,0.76691,0.38334,1.37416,3.33782,1.79126,0.0005,0.0005,0.0005
2,121.76,1.24153,1.73112,1.57934,0.37838,0.51282,0.4766,0.16769,1.68466,3.45701,2.46462,0.000999804,0.000999804,0.000999804
3,192.671,1.30117,1.66186,1.61184,0.2741,0.4359,0.25256,0.11776,1.58142,3.9229,2.42192,0.00147902,0.00147902,0.00147902
4,263.364,1.33552,1.57795,1.66125,0.38835,0.92308,0.79481,0.38348,1.48906,8.56661,2.23656,0.0018812,0.0018812,0.0018812
5,334.883,1.3803,1.46935,1.64729,0.41575,0.5641,0.45334,0.18604,1.92053,3.77094,2.6251,0.0018416,0.0018416,0.0018416
6,405.951,1.34867,1.43508,1.62457,0.54626,0.79487,0.72507,0.38152,1.60871,2.04384,2.14328,0.001802,0.001802,0.001802
7,477.001,1.28634,1.28481,1.57994,0.91067,0.82051,0.88273,0.48015,1.45538,2.29228,1.90034,0.0017624,0.0017624,0.0017624
8,550.634,1.31066,1.29608,1.59744,0.63641,0.85283,0.78516,0.39583,1.56438,1.78012,1.94785,0.0017228,0.0017228,0.0017228
9,624.079,1.27513,1.17893,1.57522,0.91463,0.87179,0.94653,0.54098,1.23718,1.31757,1.5352,0.0016832,0.0016832,0.0016832
10,696.756,1.2532,1.13111,1.55006,0.82276,0.83335,0.87621,0.52421,1.42345,1.33383,1.76881,0.0016436,0.0016436,0.0016436
11,769.715,1.21179,1.10389,1.51384,0.91541,0.83262,0.94124,0.4982,1.50125,1.64807,1.90966,0.001604,0.001604,0.001604
12,842.707,1.26476,1.05092,1.54285,0.73605,0.92965,0.86926,0.50211,1.40736,1.47338,1.7862,0.0015644,0.0015644,0.0015644
13,915.758,1.22425,1.04439,1.50808,0.91572,0.84615,0.95627,0.66883,0.99163,0.94504,1.36928,0.0015248,0.0015248,0.0015248
14,988.617,1.21759,1.00201,1.52154,0.81872,0.89744,0.93762,0.65189,1.11532,1.02562,1.49569,0.0014852,0.0014852,0.0014852
15,1061.38,1.19719,1.0231,1.51082,0.99138,0.94872,0.94559,0.6749,1.18516,1.7446,1.5714,0.0014456,0.0014456,0.0014456
16,1134.59,1.1783,0.99051,1.48398,0.98977,1,0.995,0.59522,1.3712,0.8628,1.714,0.001406,0.001406,0.001406
17,1208.33,1.12518,0.90378,1.44214,0.9653,0.89744,0.9488,0.60459,1.32631,1.18905,1.7919,0.0013664,0.0013664,0.0013664
18,1281.4,1.1058,0.9145,1.43195,0.94974,0.96921,0.98901,0.73469,1.04083,0.67138,1.47445,0.0013268,0.0013268,0.0013268
19,1354.7,1.06372,0.86716,1.39391,0.97476,0.99055,0.9945,0.60994,1.21034,0.67833,1.45045,0.0012872,0.0012872,0.0012872
20,1427.71,1.04264,0.83128,1.3745,1,0.99696,0.995,0.57792,1.26109,0.7054,1.49953,0.0012476,0.0012476,0.0012476
21,1501.07,1.04942,0.80382,1.39483,1,0.99935,0.995,0.58774,1.42774,0.65158,1.62682,0.001208,0.001208,0.001208
22,1574.28,1.01551,0.78584,1.36565,0.99827,1,0.995,0.76404,0.88183,0.57249,1.17798,0.0011684,0.0011684,0.0011684
23,1647.44,0.93916,0.75781,1.30783,1,0.98608,0.995,0.80234,0.74556,0.56317,1.10146,0.0011288,0.0011288,0.0011288
24,1721.09,1.07318,0.80106,1.43391,0.99655,1,0.995,0.72794,0.92079,0.56742,1.25587,0.0010892,0.0010892,0.0010892
25,1794.56,0.99622,0.81096,1.36062,0.99712,1,0.995,0.79884,0.8101,0.55,1.18295,0.0010496,0.0010496,0.0010496
26,1868.06,1.02098,0.77978,1.35657,0.99583,1,0.995,0.77295,0.9412,0.59028,1.40279,0.00101,0.00101,0.00101
27,1941.61,0.97329,0.74473,1.3282,1,0.99947,0.995,0.7699,0.85062,0.52689,1.18728,0.0009704,0.0009704,0.0009704
28,2014.67,0.95286,0.70903,1.31165,0.96973,1,0.99325,0.75676,0.9466,0.5789,1.2379,0.0009308,0.0009308,0.0009308
29,2087.94,0.97508,0.71372,1.32615,0.99761,1,0.995,0.79189,0.77258,0.45024,1.12728,0.0008912,0.0008912,0.0008912
30,2161.05,0.97108,0.71688,1.32655,0.9975,1,0.995,0.81114,0.77315,0.45721,1.14308,0.0008516,0.0008516,0.0008516
31,2234.78,0.93339,0.68309,1.29596,0.99804,1,0.995,0.79595,0.78275,0.44915,1.1058,0.000812,0.000812,0.000812
32,2308.51,0.87151,0.70301,1.27531,0.99744,1,0.995,0.80015,0.7431,0.45839,1.09143,0.0007724,0.0007724,0.0007724
33,2382.4,0.90579,0.67998,1.29559,0.99826,1,0.995,0.71096,0.98054,0.48118,1.22186,0.0007328,0.0007328,0.0007328
34,2455.74,0.90545,0.65346,1.30258,0.99823,1,0.995,0.8095,0.76608,0.43879,1.05032,0.0006932,0.0006932,0.0006932
35,2529.35,0.90379,0.67543,1.28876,0.99801,1,0.995,0.81278,0.71379,0.41216,1.02938,0.0006536,0.0006536,0.0006536
36,2603.22,0.83446,0.63194,1.24727,0.99657,1,0.995,0.81727,0.69501,0.41028,1.02773,0.000614,0.000614,0.000614
37,2676.53,0.83407,0.60086,1.244,0.99809,1,0.995,0.77363,0.83321,0.44449,1.10784,0.0005744,0.0005744,0.0005744
38,2749.84,0.92929,0.64743,1.28685,0.99869,1,0.995,0.82749,0.65615,0.39185,0.99812,0.0005348,0.0005348,0.0005348
39,2823.31,0.8162,0.63085,1.23742,0.99854,1,0.995,0.81411,0.69477,0.40957,1.00088,0.0004952,0.0004952,0.0004952
40,2896.35,0.85242,0.598,1.24973,0.9978,1,0.995,0.80627,0.6928,0.40446,1.00471,0.0004556,0.0004556,0.0004556
41,2969.35,0.76854,0.55969,1.30447,0.9979,1,0.995,0.78962,0.74882,0.45134,1.03944,0.000416,0.000416,0.000416
42,3042.06,0.72694,0.47034,1.24201,0.99797,1,0.995,0.80624,0.69676,0.42037,1.01507,0.0003764,0.0003764,0.0003764
43,3114.39,0.69087,0.43867,1.21471,0.99845,1,0.995,0.81095,0.67953,0.42054,0.99,0.0003368,0.0003368,0.0003368
44,3186.52,0.66661,0.40621,1.19512,0.9985,1,0.995,0.86191,0.62418,0.38057,0.95886,0.0002972,0.0002972,0.0002972
45,3258.95,0.63405,0.40467,1.18437,0.99832,1,0.995,0.82961,0.63909,0.37652,0.95604,0.0002576,0.0002576,0.0002576
46,3331.72,0.62339,0.39271,1.15863,0.99846,1,0.995,0.87599,0.56048,0.35344,0.90314,0.000218,0.000218,0.000218
47,3404.06,0.59934,0.37544,1.16217,0.99856,1,0.995,0.86668,0.56478,0.37557,0.90862,0.0001784,0.0001784,0.0001784
48,3476.91,0.57559,0.37613,1.11054,0.99861,1,0.995,0.87239,0.56991,0.37714,0.91034,0.0001388,0.0001388,0.0001388
49,3548.91,0.59116,0.37308,1.16607,0.99852,1,0.995,0.86058,0.56401,0.37131,0.90236,9.92e-05,9.92e-05,9.92e-05
50,3621.45,0.57918,0.36125,1.13986,0.99851,1,0.995,0.85949,0.5658,0.35462,0.90394,5.96e-05,5.96e-05,5.96e-05
